T (K),P (Pa),x1,y1
308.15,5626.220582,0,0
308.15,18331.82566,0.05,0.706
308.15,26677.80592,0.1,0.816
308.15,31024.11513,0.15,0.844
308.15,33743.89145,0.2,0.859
308.15,35410.42105,0.25,0.871
308.15,36583.65789,0.3,0.878
308.15,37383.59211,0.35,0.882
308.15,37983.54276,0.4,0.885
308.15,38530.16447,0.45,0.888
308.15,39090.11842,0.5,0.892
308.15,39730.06579,0.55,0.897
308.15,40343.34868,0.6,0.901
308.15,40983.29605,0.65,0.907
308.15,41649.90789,0.7,0.913
308.15,42329.85197,0.75,0.92
308.15,43049.79276,0.8,0.929
308.15,43823.0625,0.85,0.939
308.15,44689.65789,0.9,0.953
308.15,45609.58224,0.95,0.972
308.15,46542.57526,1,1
333.15,45196.28289,0,0
333.15,64661.34868,0.033,0.56
333.15,76927.00658,0.072,0.705
333.15,85326.31579,0.117,0.768
333.15,90925.85526,0.171,0.773
333.15,95192.17105,0.236,0.811
333.15,98658.55263,0.318,0.823
333.15,103191.5132,0.42,0.843
333.15,107724.4737,0.554,0.868
333.15,115511.5125,0.737,0.88
333.15,0,1,1
373.15,101325,0.000001,0.000001
373.15,111005.5372,0.0033,0.0902
373.15,113073.3671,0.004,0.109
373.15,117210.3602,0.0045,0.118
373.15,130310.6161,0.008,0.207
373.15,224074.9046,0.048,0.545
373.15,244766.5362,0.082,0.613
373.15,266831.3882,0.098,0.637
373.15,278550.4243,0.108,0.632
373.15,306814.7664,0.22,0.705
373.15,319920.3553,0.308,0.715
373.15,320600.2993,0.316,0.719
373.15,333705.8882,0.397,0.727
373.15,347491.4211,0.48,0.747
373.15,342665.1513,0.526,0.746
373.15,357143.9605,0.695,0.801
373.15,349557.9178,0.715,0.814
373.15,359903.7336,0.742,0.823
373.15,362663.5066,0.771,0.837
373.15,367489.7763,0.854,0.878
373.15,368876.3289,0.944,0.946
373.15,368183.0526,0.971,0.972
373.15,368876.3289,0.977,0.978
423.15,672184.72,0.024,0.295
423.15,937309.58,0.163,0.525
423.15,1103429.25,0.349,0.588
423.15,1127747.25,0.43,0.616
423.15,1168277.25,0.578,0.677
423.15,1188542.25,0.686,0.731
423.15,1194621.75,0.722,0.75
423.15,1201714.5,0.763,0.777
423.15,1200701.25,0.818,0.821
423.15,1198674.75,0.854,0.845
423.15,1190035.46,0.887,0.877
423.15,1181449.5,0.912,0.902
423.15,1161184.5,0.96,0.957
423.15,1156118.25,0.97,0.968
473.15,1599601.776,0.0013,0.016
473.15,1620266.743,0.0022,0.0245
473.15,1820250.296,0.0182,0.136
473.15,1889177.961,0.025,0.184
473.15,2151156.414,0.045,0.268
473.15,2420067.632,0.092,0.354
473.15,2730308.783,0.226,0.455
473.15,2875096.875,0.362,0.502
473.15,2902694.605,0.393,0.517
473.15,2944024.539,0.446,0.54
473.15,2992287.237,0.512,0.575
473.15,3026817.73,0.551,0.595
473.15,3033750.493,0.634,0.648
473.15,3054415.461,0.659,0.665
473.15,3047482.697,0.735,0.722
473.15,3033750.493,0.758,0.743
473.15,3026817.73,0.772,0.753
473.15,2999220,0.816,0.794
473.15,2950957.303,0.867,0.847
473.15,2944024.539,0.877,0.858
473.15,2847499.145,0.93,0.919
473.15,2833766.941,0.937,0.928
473.15,2840699.704,0.94,0.931
473.15,2792437.007,0.978,0.976
473.15,2792437.007,0.979,0.977
523.15,4040334.375,0.002,0.015
523.15,4095529.836,0.004,0.025
523.15,4178189.704,0.007,0.039
523.15,4660816.678,0.026,0.138
523.15,5543410.757,0.104,0.292
523.15,6039769.934,0.227,0.363
523.15,6301748.388,0.285,0.392
523.15,6336278.882,0.296,0.4
523.15,6474134.211,0.364,0.425
523.15,6474134.211,0.349,0.428
523.15,6543061.875,0.401,0.462
523.15,6577592.368,0.412,0.466
523.15,6687849.967,0.496,0.521
523.15,6756910.954,0.556,0.556
