T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 kmol-1),Z_c,R (m3 Pa K−1 mol−1),w,a_c,b_c,m (Adachi-Lu),m (Soave),virialT,virialB
273.1,600,647.3,22064000,0.05595,0.229,8.31451,0.344,,,1.01194,0.983952,323.16,-838.3
285.1418057,1397.417873,,,,,,,,,,,373.16,-451
297.714571,3079.701498,,,,,,,,,,,373.16,-453.6
310.8417077,6504.59917,,,,,,,,,,,423.16,-283.5
324.5476595,13194.65158,,,,,,,,,,,423.16,-283.3
338.8579482,25760.28735,,,,,,,,,,,473.15,-196.1
353.7992209,48502.50623,,,,,,,,,,,473.16,-196.7
369.3992995,88247.1234,,,,,,,,,,,523.16,-145.3
385.6872328,155453.5504,,,,,,,,,,,523.16,-145.4
402.6933504,265635.3858,,,,,,,,,,,,
420.4493192,441124.4541,,,,,,,,,,,,
438.9882024,713210.1572,,,,,,,,,,,,
458.3445211,1124701.192,,,,,,,,,,,,
478.5543184,1733000.336,,,,,,,,,,,,
499.6552269,2613875.876,,,,,,,,,,,,
521.6865384,3866291.027,,,,,,,,,,,,
544.689277,5618987.469,,,,,,,,,,,,
568.706276,8040188.604,,,,,,,,,,,,
593.7822572,11353349.43,,,,,,,,,,,,
619.9639144,15866858.77,,,,,,,,,,,,
644.5663914,21357148.86,,,,,,,,,,,,
647.3,22064000,,,,,,,,,,,,
