T (K),P (Pa),x1,x2,y1,y2,k12,k21,r,s,k1_VdW,k2_VdW
223.11,680900,1,0,1,0,1,1,,,,
223.11,796400,0.926,0.074,0.822,0.178,,,,,,
223.11,855200,0.847,0.153,0.738,0.262,,,,,,
223.11,896700,0.691,0.309,0.647,0.353,,,,,,
223.11,901800,0.589,0.411,0.607,0.393,,,,,,
223.11,894700,0.493,0.507,0.569,0.431,,,,,,
223.11,875400,0.402,0.598,0.521,0.479,,,,,,
223.11,863300,0.349,0.651,0.505,0.495,,,,,,
223.11,813600,0.245,0.755,0.423,0.577,,,,,,
223.11,736600,0.136,0.864,0.314,0.686,,,,,,
223.11,624200,0.043,0.957,0.141,0.859,,,,,,
223.11,552200,0,1,0,1,,,,,,
243.11,1427700,1,0,1,0,,,,,,
243.11,1546200,0.948,0.052,0.894,0.106,,,,,,
243.11,1673900,0.844,0.156,0.776,0.224,,,,,,
243.11,1729600,0.723,0.277,0.691,0.309,,,,,,
243.11,1737700,0.636,0.364,0.645,0.355,,,,,,
243.11,1729600,0.576,0.424,0.61,0.39,,,,,,
243.11,1707300,0.504,0.496,0.573,0.427,,,,,,
243.11,1638400,0.376,0.624,0.5,0.5,,,,,,
243.11,1533000,0.253,0.747,0.41,0.59,,,,,,
243.11,1414500,0.166,0.834,0.316,0.684,,,,,,
243.11,1244300,0.071,0.929,0.177,0.823,,,,,,
243.11,1156100,0.033,0.967,0.096,0.904,,,,,,
243.11,1063900,0,1,0,1,,,,,,
263.1,2641500,1,0,1,0,,,,,,
263.1,2823900,0.937,0.063,0.9,0.1,,,,,,
263.1,2960700,0.858,0.142,0.816,0.184,,,,,,
263.1,3028600,0.773,0.227,0.745,0.255,,,,,,
263.1,3050900,0.659,0.341,0.666,0.334,,,,,,
263.1,3008300,0.548,0.452,0.596,0.404,,,,,,
263.1,2895900,0.425,0.575,0.514,0.486,,,,,,
263.1,2780400,0.339,0.661,0.453,0.547,,,,,,
263.1,2660800,0.273,0.727,0.397,0.603,,,,,,
263.1,2411500,0.165,0.835,0.286,0.714,,,,,,
263.1,2018400,0.045,0.955,0.104,0.896,,,,,,
263.1,1859300,0,1,0,1,,,,,,
283.1,4492800,1,0,1,0,,,,,,
283.1,4638700,0.961,0.039,0.947,0.053,,,,,,
283.1,4741000,0.928,0.072,0.908,0.092,,,,,,
283.1,4963900,0.873,0.127,0.852,0.148,,,,,,
283.1,4924400,0.833,0.167,0.815,0.185,,,,,,
283.1,4994300,0.73,0.27,0.727,0.273,,,,,,
283.1,4975100,0.655,0.345,0.666,0.334,,,,,,
283.1,4851400,0.542,0.458,0.578,0.422,,,,,,
283.1,4617400,0.421,0.579,0.48,0.52,,,,,,
283.1,4308300,0.311,0.689,0.384,0.616,,,,,,
283.1,4068200,0.234,0.766,0.315,0.685,,,,,,
283.1,3654800,0.128,0.872,0.198,0.802,,,,,,
283.1,3202900,0.033,0.967,0.061,0.939,,,,,,
283.1,3009400,0,1,0,1,,,,,,
293.1,5718800,1,0,1,0,,,,,,
293.1,5883900,0.961,0.039,0.952,0.048,,,,,,
293.1,6098800,0.889,0.111,0.876,0.124,,,,,,
293.1,6233500,0.822,0.178,0.812,0.188,,,,,,
293.1,6304400,0.774,0.226,0.771,0.229,,,,,,
293.1,5271900,0.313,0.687,0.341,0.659,,,,,,
293.1,4927400,0.216,0.784,0.263,0.737,,,,,,
293.1,4446100,0.119,0.881,0.159,0.841,,,,,,
293.1,4002300,0.037,0.963,0.058,0.942,,,,,,
293.1,3766300,0,1,0,1,,,,,,
